Rank,2025-05-06 After Poules,2025-05-06 After DEs,2025-05-13 After Poules,2025-05-13 After DEs,2025-05-20 After Poules,2025-05-20 After DEs,2025-05-27 After Poules,2025-05-27 After DEs,2025-06-03 After Poules,2025-06-03 After DEs,2025-06-10 After Poules,2025-06-10 After DEs,2025-06-17 After Poules,2025-06-17 After DEs,2025-06-24 After Poules,2025-06-24 After DEs,2025-07-01 After Poules,2025-07-01 After DEs,2025-07-08 After Poules,2025-07-08 After DEs,2025-07-15 After Poules,2025-07-15 After DEs,2025-09-01 After Poules,2025-09-01 After DEs,2025-09-09 After Poules,2025-09-09 After DEs,2025-09-16 After Poules,2025-09-16 After DEs,2025-09-23 After Poules,2025-09-23 After DEs,2025-09-30 After Poules,2025-09-30 After DEs,2025-10-07 After Poules,2025-10-07 After DEs,2025-10-14 After Poules,2025-10-14 After DEs,2025-10-21 After Poules,2025-10-21 After DEs,2025-10-28 After Poules,2025-10-28 After DEs,2025-11-04 After Poules,2025-11-04 After DEs,2025-11-10 After Poules,2025-11-10 After DEs,2025-11-18 After Poules,2025-11-18 After DEs,2025-11-25 After Poules,2025-11-25 After DEs,2025-12-02 After Poules,2025-12-02 After DEs,2025-12-09 After Poules,2025-12-09 After DEs,2025-12-16 After Poules,2025-12-16 After DEs,2026-01-06 After Poules,2026-01-06 After DEs,2026-01-13 After Poules,2026-01-13 After DEs,2026-01-20 After Poules,2026-01-20 After DEs,2026-01-27 After Poules,2026-01-27 After DEs,2026-02-03 After Poules,2026-02-03 After DEs,2026-02-10 After Poules,2026-02-10 After DEs,2026-02-17 After Poules,2026-02-17 After DEs,2026-02-24 After Poules,2026-02-24 After DEs,2026-03-03 After Poules,2026-03-03 After DEs,2026-03-10 After Poules,2026-03-10 After DEs,2026-03-17 After Poules,2026-03-17 After DEs,2026-03-24 After Poules,2026-03-24 After DEs,2026-04-14 After Poules,2026-04-14 After DEs,2026-04-21 After Poules,2026-04-21 After DEs,2026-04-28 After Poules,2026-04-28 After DEs,2026-05-05 After Poules,2026-05-05 After DEs
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flavia (1605.5),Flavia (1605.5),Fergus (1638.2) (+8.1),Fergus (1637.7) (-0.5),Lance (1677.2),Caden (1687.6),Lucas H (1694.1),Alonzo (1691.3),Marg (1712.9) (-6.8),Matilda (1711.3),Maiya (1714.6),Alberto (1712.4),Marg (1714.2) (-8.5),Alberto (1712.4),Maiya (1714.6),Alberto (1712.4),Alberto (1712.4),Marinko (1704.4),Marinko (1704.4),Matilda (1710.5) (+22.1),Megan (1714.7),Alberto (1712.4),Megan (1714.7),Maiya (1714.6),Megan (1714.7),Megan (1714.7),Jana (1721.7),Shevy (1721.1),Feddy (1735.7),Feddy (1735.7),Giulia (1736.3),Feddy (1735.7),Giulia (1736.3),Giulia (1736.3),Giulia (1736.3),Giulia (1736.3),Giulia (1736.3),Giulia (1736.3),Tom S (1741.3),Will P (1748.7) (+4.6),Caden (1759.0) (+7.5),Tom S (1741.3),Dan (1762.3),Luka (1757.5),Dan (1762.3),Patrick L (1762.6),Patrick L (1762.6),Patrick L (1762.6)
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andy R (1593.7),Andy R (1593.7),Flavia (1605.5),Flavia (1605.5),Lucas (1662.7),Lance (1677.2),Alonzo (1691.3),Joshua (1689.1) (-47.9),Alberto (1712.4),Alix S (1708.3) (-7.4),Alberto (1712.4),Marinko (1710.1) (-1.2),Alberto (1712.4),Marinko (1704.4) (-7.1),Alberto (1712.4),Marinko (1704.4),Marinko (1704.4),Marg (1702.0) (-20.0),Rowena (1699.2),Marinko (1704.4),Maiya (1714.6),Matilda (1710.5),Maiya (1714.6),Alberto (1712.4),Maiya (1714.6),Maiya (1714.6),Shevy (1721.1),Megan (1714.7),Jenna (1733.6),Jenna (1733.6),Feddy (1735.7),Max V (1735.5) (-72.5),Feddy (1735.7),Feddy (1735.7),Feddy (1735.7),Feddy (1735.7),Feddy (1735.7),Feddy (1735.7),Nicholas P (1741.0),Tom S (1741.3),Luka (1757.5),Nicholas P (1741.0),Luka (1757.5),Etienne (1756.3),Luka (1757.5),Dan (1762.3),Dan (1762.3),Dan (1762.3)
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1513.7),Nat (1513.7),Andy R (1593.7),Andy R (1593.7),Fergus (1652.0) (+14.3),Lucas (1662.7),Lance (1677.2),Lance (1677.2),Matilda (1711.3),Chrissy (1701.4),Marinko (1711.3) (-8.8),Chrissy (1701.4),Marinko (1711.5) (+1.4),Chrissy (1701.4),Marinko (1704.4),Rowena (1699.2),Rowena (1699.2),Rowena (1699.2),Marg (1696.8) (-5.2),Rowena (1699.2),Alberto (1712.4),Marinko (1704.4),Alberto (1712.4),Marinko (1704.4),Alberto (1712.4),Alberto (1712.4),Megan (1714.7),Maiya (1714.6),Chrissy (1727.3),Perth (1729.8) (+87.2),Jenna (1733.6),Jenna (1733.6),Max V (1735.5),Max V (1735.5),Max V (1735.5),Max V (1735.5),Max V (1735.5),Max V (1735.5),Alex (1738.5),Nicholas P (1741.0),Etienne (1756.3),Alex (1738.5),Etienne (1756.3),Kirill (1746.1) (-35.3),Etienne (1756.3),Luka (1757.5),Luka (1757.5),Luka (1757.5)
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1513.7),Nat (1513.7),Perth (1638.7),Fergus (1660.3) (+8.3),Fergus (1669.3) (+9.0),Fergus (1672.4) (+3.0),Chrissy (1701.4),Rowena (1699.2) (-46.2),Chrissy (1701.4),Rowena (1699.2),Chrissy (1701.4),Rowena (1699.2),Rowena (1699.2),Lucas H (1694.1),Lucas H (1694.1),Lucas H (1694.1),Lucas H (1694.1),Marg (1696.8),Matilda (1710.5),Alix S (1703.1) (+15.9),Marinko (1704.4),Rowena (1699.2),Marinko (1704.4),Marinko (1704.4),Maiya (1714.6),Alberto (1712.4),Jana (1721.7),Chrissy (1727.3),Perth (1729.8),Perth (1729.8),Jenna (1733.6),Jenna (1733.6),Jenna (1733.6),Jenna (1733.6),Jenna (1733.6),Jenna (1733.6),Giulia (1736.3),Alex (1738.5),Kirill (1752.8) (-1.2),Giulia (1736.3),Max V (1750.2) (-21.3),Nicholas P (1741.0),Caden (1752.9) (+18.9),Etienne (1756.3),Etienne (1756.3),Etienne (1756.3)
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flavia (1605.5),Perth (1638.7),Lucas (1662.7),Lucas (1662.7),Alonzo (1694.3) (+3.0),Lucas H (1694.1),Rowena (1699.2),Lucas H (1694.1),Rowena (1699.2),Lucas H (1694.1),Eugene (1696.1) (+29.1),Alix S (1688.8),Alix S (1688.8),Alix S (1688.8),Matilda (1688.4) (+29.6),Lucas H (1694.1),Marinko (1704.4),Rowena (1699.2),Rowena (1699.2),Lucas H (1694.1),Rowena (1699.2),Rowena (1699.2),Alberto (1712.4),Marinko (1704.4),Megan (1714.7),Jana (1721.7),Chrissy (1727.3),Chrissy (1727.3),Perth (1729.8),Perth (1729.8),Caden (1733.2) (-14.4),Perth (1729.8),Perth (1729.8),Perth (1729.8),Feddy (1735.7),Giulia (1736.3),Tom S (1741.3),Feddy (1735.7),Nicholas P (1741.0),Alex (1738.5),Fedor (1745.3) (+12.1),Nicholas P (1741.0),Nicholas P (1741.0),Fergus (1742.8) (+13.7)
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andy R (1593.7),Flavia (1605.5),Perth (1638.7),Perth (1638.7),Lucas H (1694.1),Lance (1677.2),Lucas H (1694.1),Joshua (1685.3) (-3.6),Joshua (1696.1) (+10.8),Alix S (1688.8),Lucas H (1694.1),Lance (1677.2),Lance (1677.2),Lance (1677.2),Alonzo (1678.4) (+24.0),Fergus (1683.9) (+22.9),Rowena (1699.2),Lucas H (1694.1),Lucas H (1694.1),Jack B (1686.8),Lucas H (1694.1),Lucas H (1694.1),Marinko (1704.4),Rowena (1699.2),Maiya (1714.6),Megan (1714.7),Jana (1721.7),Jana (1721.7),Chrissy (1727.3),Chrissy (1727.3),Perth (1729.8),Marg (1729.0),Marg (1728.6) (-0.4),Marg (1728.6),Jenna (1733.6),Feddy (1735.7),Nicholas P (1741.0),Caden (1733.9) (-25.1),Lysandra (1739.4),Giulia (1736.3),Nicholas P (1741.0),Alex (1738.5),Alex (1738.5),Nicholas P (1741.0)
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1513.7),Andy R (1593.7),Flavia (1605.5),Flavia (1605.5),Lance (1677.2),Fergus (1672.4),Fergus (1691.2) (+18.8),Matilda (1682.1) (-50.7),Lucas H (1694.1),Lance (1677.2),Alix S (1688.8),Giles (1671.0) (-68.9),Giles (1671.0),Giles (1671.0),Lance (1677.2),Lance (1677.2),Fergus (1694.4) (+10.5),Jack B (1686.8) (-82.9),Jack B (1686.8),Kirill (1681.7),Jack B (1686.8),Jack B (1686.8),Rowena (1699.2),Joshua (1698.5) (+23.9),Julia T (1712.7) (+26.8),Maiya (1714.6),Megan (1714.7),Megan (1714.7),Jana (1721.7),Jana (1721.7),Marg (1729.0) (+18.6),Chrissy (1727.3),Chrissy (1727.3),Chrissy (1727.3),Chrissy (1727.3),Jenna (1733.6),Alex (1738.5),Jenna (1733.6),Alex (1738.5),Feddy (1735.7),Alex (1738.5),Giulia (1736.3),Giulia (1736.3),Alex (1738.5)
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1513.7),Andy R (1593.7),Andy R (1593.7),Joshua (1676.1) (-13.0),Joshua (1671.8) (-4.3),Joshua (1688.9) (+17.0),Lance (1677.2),Alix S (1688.8) (+47.7),Eugene (1666.9) (-57.9),Lance (1677.2),Eugene (1662.7) (-33.3),Eugene (1662.7),Eugene (1662.7),Giles (1671.0),Giles (1671.0),Lucas H (1694.1),Kirill (1681.7) (-41.2),Kirill (1681.7),Lance (1677.2),Matilda (1683.8) (+16.4),Matilda (1677.8) (-6.0),Lucas H (1694.1),Fergus (1696.8) (+32.4),Alberto (1712.4),Julia T (1712.7),Maiya (1714.6),Maiya (1714.6),Megan (1714.7),Megan (1714.7),Chrissy (1727.3),Jana (1721.7),Jana (1721.7),Jana (1721.7),Perth (1725.1) (-4.7),Chrissy (1727.3),Giulia (1736.3),Fedor (1733.2) (-58.1),Giulia (1736.3),Caden (1733.9),Kirill (1736.6) (-9.5),Feddy (1735.7),Feddy (1735.7),Giulia (1736.3)
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1513.7),Nat (1513.7),Fergus (1672.4),Lucas (1662.7),Lance (1677.2),Lucas (1662.7),Lance (1677.2),Lucas (1662.7),Lucas (1662.7),Lucas (1662.7),Lucas (1662.7),Lucas (1662.7),Alix S (1668.0) (-20.9),Alix S (1668.0),Alix S (1687.2) (+19.2),Lance (1677.2),Alix S (1680.2) (-23.0),Alix S (1676.4) (-3.8),Kirill (1678.6) (-3.1),Lance (1677.2),Kirill (1688.4) (+30.0),Lucas H (1694.1),Marinko (1704.4),Alberto (1712.4),Julia T (1712.7),Julia T (1712.7),Maiya (1714.6),Maiya (1714.6),Jana (1721.7),Megan (1714.7),Kirill (1720.9) (+12.7),Kirill (1716.2) (-4.6),Jana (1721.7),Jana (1721.7),Feddy (1735.7),Shevy (1732.8) (-75.3),Feddy (1735.7),Jenna (1733.6),Giulia (1736.3),Jenna (1733.6),Jenna (1733.6),Feddy (1735.7)
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucas (1662.7),Alonzo (1654.3) (-40.0),Alix S (1669.5) (-38.8),Fergus (1656.6) (-34.6),Lucas (1662.7),Matilda (1658.9),Matilda (1658.9),Matilda (1658.9),Matilda (1658.9),Matilda (1658.9),Eugene (1662.7),Eugene (1662.7),Lance (1677.2),Giles (1671.0),Lance (1677.2),Giles (1671.0),Lance (1677.2),Andy R (1671.7) (+12.9),Jack B (1686.8),Jack B (1686.8),Rowena (1699.2),Kirill (1704.9) (+23.2),Alberto (1712.4),Alberto (1712.4),Julia T (1712.7),Julia T (1712.7),Vanessa (1717.7),Maiya (1714.6),Megan (1714.7),Megan (1714.7),Marg (1720.5) (-8.1),Marg (1720.5),Jenna (1733.6),Chrissy (1727.3),Caden (1733.9),Fedor (1733.2),Feddy (1735.7),Fergus (1732.2) (+35.2),Vladimir (1730.4),Jenna (1733.6)
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perth (1638.7),Perth (1638.7),Lucas (1662.7),Alonzo (1654.3),Matilda (1658.9) (-23.3),Fergus (1656.6),Fergus (1656.6),Fergus (1656.6),Fergus (1656.6),Fergus (1656.6),Lucas (1662.7),Lucas (1662.7),Giles (1671.0),Fergus (1668.4) (-25.9),Giles (1671.0),Matilda (1667.4) (-53.1),Giles (1671.0),Giles (1671.0),Matilda (1677.8),Julia T (1685.9) (-77.3),Fergus (1696.8),Marinko (1704.4),Kirill (1704.9),Kirill (1704.9),Alberto (1712.4),Alberto (1712.4),Megan (1714.7),Julia T (1712.7),Maiya (1714.6),Maiya (1714.6),Megan (1714.7),Megan (1714.7),Chrissy (1727.3),Andy R (1724.7) (+16.4),Jenna (1733.6),Vladimir (1730.4) (-54.3),Jenna (1733.6),Vladimir (1730.4),Fergus (1729.1) (-3.1),Vladimir (1730.4)
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flavia (1605.5),Flavia (1605.5),Alonzo (1654.3),Alix S (1641.2) (-28.3),Fergus (1656.6),Joshua (1654.8) (-41.3),Alonzo (1654.3),Alonzo (1654.3),Alonzo (1654.3),Alonzo (1654.3),Fergus (1661.0) (+4.3),Alonzo (1644.4) (-33.9),Eugene (1662.7),Eugene (1662.7),Eugene (1662.7),Eugene (1662.7),Eugene (1668.6) (+5.9),Alix S (1664.9) (+6.0),Lance (1677.2),Matilda (1677.8),Lucas H (1694.1),Rowena (1699.2),Marinko (1704.4),Marinko (1704.4),Marg (1710.5) (-27.1),Marg (1710.5),Maiya (1714.6),Alberto (1712.4),Julia T (1712.7),Julia T (1712.7),Maiya (1714.6),Maiya (1714.6),Jana (1721.7),Jana (1721.7),Fedor (1733.2),Chrissy (1727.3),Vladimir (1730.4),Chrissy (1727.3),Chrissy (1727.3),Chrissy (1727.3)
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andy R (1593.7),Andy R (1593.7),Perth (1638.7),Perth (1638.7),Alonzo (1654.3),Alonzo (1654.3),Perth (1638.7),Perth (1638.7),Perth (1638.7),Perth (1638.7),Perth (1638.7),Perth (1638.7),Lucas (1662.7),Lucas (1662.7),Lucas (1662.7),Lucas (1662.7),Lucas (1662.7),Lucas (1662.7),Joshua (1674.5) (+21.1),Lance (1677.2),Jack B (1686.8),Fergus (1696.8),Rowena (1699.2),Rowena (1699.2),Marinko (1704.4),Marinko (1704.4),Angelica (1713.0) (+19.9),Kirill (1708.2) (-35.5),Alberto (1712.4),Alberto (1712.4),Julia T (1712.7),Julia T (1712.7),Megan (1714.7),Marinko (1714.9) (+12.2),Chrissy (1727.3),Andy R (1724.7),Chrissy (1727.3),Andy R (1724.7),Andy R (1724.7),Andy R (1724.7)
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1513.7),Nat (1513.7),Flavia (1605.5),Flavia (1605.5),Perth (1638.7),Perth (1638.7),Joshua (1632.1) (-22.7),Joshua (1633.3) (+1.2),Joshua (1633.3),Joshua (1633.3),Joshua (1633.3),Joshua (1633.3),Alonzo (1644.4),Andy R (1655.0) (+13.8),Fergus (1659.3) (-9.1),Fergus (1659.3),Alix S (1658.9) (-17.5),Kirill (1658.5) (-20.2),Andy R (1671.7),Kirill (1673.5) (-14.9),Joshua (1684.9) (-13.6),Lucas H (1694.1),Fergus (1696.8),Fergus (1696.8),Rowena (1699.2),Rowena (1699.2),Julia T (1712.7),Marinko (1704.4),Rowena (1699.2),Rowena (1699.2),Alberto (1712.4),Alberto (1712.4),Maiya (1714.6),Megan (1714.7),Andy R (1724.7),Jana (1721.7),Andy R (1724.7),Jana (1721.7),Kirill (1722.6) (+0.9),Jana (1721.7)
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andy R (1593.7),Andy R (1593.7),Flavia (1605.5),Flavia (1605.5),Flavia (1605.5),Flavia (1605.5),Flavia (1605.5),Flavia (1605.5),Flavia (1605.5),Flavia (1605.5),Andy R (1641.2) (+47.5),Alonzo (1644.4),Andy R (1655.0),Andy R (1655.0),Andy R (1658.7) (+3.8),Joshua (1653.4) (+14.1),Giles (1671.0),Andy R (1671.7),Kirill (1681.7) (+8.2),Jack B (1686.8),Lucas H (1694.1),Lucas H (1694.1),Kirill (1695.6) (-9.3),Lucas H (1694.1),Alberto (1712.4),Rowena (1699.2),Fergus (1696.1),Fergus (1696.1),Rowena (1699.2),Eugene (1700.2) (+5.2),Marg (1712.9) (-7.7),Maiya (1714.6),Jana (1721.7),Megan (1714.7),Jana (1721.7),Kirill (1721.7) (-15.0),Jana (1721.7),Caden (1715.4)
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1513.7),Nat (1513.7),Andy R (1593.7),Andy R (1593.7),Andy R (1593.7),Andy R (1593.7),Andy R (1593.7),Andy R (1593.7),Andy R (1593.7),Andy R (1593.7),Perth (1638.7),Perth (1638.7),Alonzo (1644.4),Alonzo (1644.4),Fergus (1650.9) (-8.4),Alonzo (1644.4),Fergus (1664.4) (+20.7),Giles (1671.0),Matilda (1677.8),Matilda (1677.8),Jack B (1686.8),Jack B (1686.8),Fergus (1695.0) (-1.8),Angelica (1693.2) (-75.1),Marinko (1704.4),Fergus (1696.1) (+14.2),Eugene (1696.0) (+1.3),Marinko (1694.7) (+18.1),Fergus (1696.8) (+0.7),Perth (1699.6) (-25.5),Julia T (1712.7),Marg (1712.9),Marinko (1718.6) (+3.8),Maiya (1714.6),Megan (1714.7),Caden (1715.4) (-37.5),Caden (1715.4),Megan (1714.7)
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1506.8) (-6.9),Nat (1506.8),Nat (1544.4) (+37.6),Nat (1559.6) (+15.3),Nat (1559.6),Nat (1559.6),Nat (1559.6),Nat (1559.6),Joshua (1633.3),Joshua (1633.3),Perth (1638.7),Perth (1638.7),Alonzo (1644.4),Fergus (1643.7) (-7.2),Lucas (1662.7),Lucas (1662.7),Lance (1677.2),Andy R (1677.3) (+10.3),Eugene (1678.0) (+42.1),Matilda (1677.8),Joshua (1694.8) (+22.1),Jack B (1686.8),Rowena (1699.2),Eugene (1694.7) (+15.0),Lucas H (1694.1),Lucas H (1694.1),Eugene (1695.1) (+27.7),Rowena (1699.2),Alberto (1712.4),Julia T (1712.7),Megan (1714.7),Julia T (1712.7),Maiya (1714.6),Megan (1714.7),Megan (1714.7),Maiya (1714.6)
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flavia (1605.5),Flavia (1605.5),Joshua (1632.3) (-0.9),Joshua (1632.3),Joshua (1639.3) (+7.0),Perth (1638.7),Alonzo (1644.4),Alonzo (1644.4),Giles (1671.0),Lance (1677.2),Matilda (1677.8),Lance (1677.2),Lucas H (1694.1),Fergus (1679.8) (-15.2),Lucas H (1694.1),Lucas H (1694.1),Jack B (1686.8),Jack B (1686.8),Lucas H (1694.1),Lucas H (1694.1),Andy R (1708.3) (+22.0),Alberto (1712.4),Maiya (1714.6),Alberto (1712.4),Julia T (1712.7),Maiya (1714.6),Maiya (1714.6),Julia T (1712.7)
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1559.6),Nat (1559.6),Flavia (1605.5),Flavia (1605.5),Perth (1638.7),Eugene (1624.5) (-44.2),Alix S (1641.2) (-23.6),Perth (1638.7),Andy R (1667.0) (-4.6),Joshua (1672.7) (-12.1),Lance (1677.2),Joshua (1672.7),Jack B (1686.8),Matilda (1677.8),Jack B (1686.8),Jack B (1686.8),Andy R (1686.3),Andy R (1686.3),Jack B (1686.8),Jack B (1686.8),Marinko (1702.7) (+34.7),Eugene (1700.2),Julia T (1712.7),Fergus (1711.5) (+4.1),Alberto (1712.4),Julia T (1712.7),Julia T (1712.7),Alberto (1712.4)
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1559.6),Nat (1559.6),Flavia (1605.5),Flavia (1605.5),Perth (1638.7),Eugene (1636.0) (-0.7),Lucas (1662.7),Giles (1671.0),Joshua (1672.7),Giles (1671.0),Matilda (1677.8),Lance (1677.2),Joshua (1682.0) (+7.7),Andy R (1686.3) (+21.9),Vanessa (1679.5),Vanessa (1679.5),Andy R (1686.3),Andy R (1686.3),Eugene (1700.2),Perth (1699.6),Alberto (1712.4),Lysandra (1700.4) (-39.0),Eugene (1701.0) (+0.8),Alberto (1712.4),Alberto (1712.4),Lysandra (1700.4)
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1559.6),Nat (1559.6),Eugene (1636.6) (+12.2),Alix S (1631.4) (-9.8),Alonzo (1644.4),Lucas (1662.7),Giles (1671.0),Lucas (1662.7),Lance (1677.2),Joshua (1674.2) (-20.5),Fergus (1681.9) (+2.2),Vanessa (1679.5) (-38.2),Lance (1677.2),Lance (1677.2),Marinko (1685.8) (-8.9),Vanessa (1679.5),Perth (1699.6),Rowena (1699.2),Fergus (1707.4) (+31.5),Eugene (1700.2),Lysandra (1700.4),Lysandra (1700.4),Lysandra (1700.4),Perth (1699.6)
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flavia (1605.5),Flavia (1605.5),Perth (1642.5) (+3.8),Alonzo (1644.4),Lucas (1662.7),Alonzo (1644.4),Giles (1671.0),Giles (1671.0),Eugene (1679.7) (+41.9),Matilda (1677.8),Marinko (1676.6) (-27.8),Giles (1671.0),Vanessa (1679.5),Lance (1677.2),Rowena (1699.2),Isra (1698.3) (-73.8),Eugene (1700.2),Perth (1699.6),Perth (1699.6),Perth (1699.6),Perth (1699.6),Rowena (1699.2)
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1559.6),Nat (1559.6),Eugene (1636.0),Eugene (1636.0),Andy R (1661.4) (-15.9),Eugene (1637.8) (-40.2),Lucas (1662.7),Lucas (1662.7),Matilda (1677.8),Lance (1677.2),Giles (1671.0),Angelica (1669.2),Lance (1677.2),Fergus (1675.9) (-20.9),Lucas H (1694.1),Lucas H (1694.1),Perth (1699.6),Rowena (1699.2),Rowena (1699.2),Rowena (1699.2),Rowena (1699.2),Isra (1698.3)
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alix S (1631.4),Alix S (1631.4),Alonzo (1644.4),Alix S (1634.1) (+4.2),Alonzo (1644.4),Alonzo (1644.4),Lance (1677.2),Giles (1671.0),Matilda (1670.2) (-7.6),Eugene (1667.3) (-28.6),Giles (1671.0),Giles (1671.0),Jack B (1686.8),Jack B (1686.8),Rowena (1699.2),Isra (1698.3),Isra (1698.3),Isra (1698.3),Isra (1698.3),Marg (1695.6)
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flavia (1605.5),Flavia (1605.5),Alix S (1630.0) (-1.5),Andy R (1633.2) (-28.3),Eugene (1637.8),Eugene (1637.8),Giles (1671.0),Angelica (1669.2) (-43.9),Angelica (1669.2),Matilda (1666.7) (-3.5),Angelica (1669.2),Angelica (1669.2),Vanessa (1679.5),Vanessa (1679.5),Isra (1698.3),Marg (1694.8),Fergus (1697.0) (-14.5),Lucas H (1694.1),Marg (1695.6) (+8.1),Lucas H (1694.1)
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1559.6),Nat (1559.6),Flavia (1605.5),Flavia (1605.5),Andy R (1633.2),Andy R (1633.2),Andy R (1664.4) (+31.2),Lucas (1662.7),Lucas (1662.7),Lucas (1662.7),Matilda (1666.7),Marinko (1668.0) (-17.8),Lance (1677.2),Lance (1677.2),Marg (1694.8) (-18.1),Lucas H (1694.1),Lucas H (1694.1),Marg (1687.5),Lucas H (1694.1),Kirill (1691.2) (-31.4)
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1559.6),Nat (1559.6),Alix S (1630.2) (-3.9),Flavia (1605.5),Lucas (1662.7),Joshua (1652.0) (-29.9),Joshua (1652.0),Joshua (1652.0),Lucas (1662.7),Matilda (1666.7),Fergus (1675.9),Fergus (1675.9),Lucas H (1694.1),Jack B (1686.8),Marg (1687.5) (-7.2),Jack B (1686.8),Matilda (1689.7) (+23.0),Jack B (1686.8)
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flavia (1605.5),Alix S (1602.1) (-28.1),Alonzo (1644.4),Alonzo (1644.4),Alonzo (1644.4),Alonzo (1644.4),Joshua (1652.0),Lucas (1662.7),Giles (1671.0),Giles (1671.0),Jack B (1686.8),Marinko (1680.7) (-38.0),Jack B (1686.8),Marinko (1680.7),Jack B (1686.8),Marinko (1680.9) (+9.2)
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1559.6),Nat (1559.6),Alix S (1624.4) (+22.3),Flavia (1605.5),Alix S (1616.7) (+35.5),Flavia (1605.5),Alonzo (1644.4),Joshua (1652.0),Angelica (1669.2),Angelica (1669.2),Vanessa (1679.5),Vanessa (1679.5),Marinko (1680.7),Vanessa (1679.5),Vanessa (1679.5),Vanessa (1679.5)
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flavia (1605.5),Alix S (1581.3) (-43.1),Flavia (1605.5),Alix S (1593.1) (-23.6),Flavia (1605.5),Alonzo (1644.4),Matilda (1666.7),Matilda (1666.7),Lance (1677.2),Lance (1677.2),Vanessa (1679.5),Eugene (1677.8) (-23.3),Eugene (1677.8),Eugene (1677.8)
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1559.6),Nat (1559.6),Nat (1559.6),Nat (1559.6),Alix S (1593.1),Flavia (1605.5),Lucas (1662.7),Lucas (1662.7),Giles (1671.0),Giles (1671.0),Lance (1677.2),Lance (1677.2),Lance (1677.2),Lance (1677.2)
