Fencer,2025-05-06 After Poules,2025-05-06 After DEs,2025-05-13 After Poules,2025-05-13 After DEs,2025-05-20 After Poules,2025-05-20 After DEs,2025-05-27 After Poules,2025-05-27 After DEs,2025-06-03 After Poules,2025-06-03 After DEs,2025-06-10 After Poules,2025-06-10 After DEs,2025-06-17 After Poules,2025-06-17 After DEs,2025-06-24 After Poules,2025-06-24 After DEs,2025-07-01 After Poules,2025-07-01 After DEs,2025-07-08 After Poules,2025-07-08 After DEs,2025-07-15 After Poules,2025-07-15 After DEs,2025-09-01 After Poules,2025-09-01 After DEs,2025-09-09 After Poules,2025-09-09 After DEs,2025-09-16 After Poules,2025-09-16 After DEs,2025-09-23 After Poules,2025-09-23 After DEs,2025-09-30 After Poules,2025-09-30 After DEs,2025-10-07 After Poules,2025-10-07 After DEs,2025-10-14 After Poules,2025-10-14 After DEs,2025-10-21 After Poules,2025-10-21 After DEs,2025-10-28 After Poules,2025-10-28 After DEs,2025-11-04 After Poules,2025-11-04 After DEs,2025-11-10 After Poules,2025-11-10 After DEs,2025-11-18 After Poules,2025-11-18 After DEs,2025-11-25 After Poules,2025-11-25 After DEs,2025-12-02 After Poules,2025-12-02 After DEs,2025-12-09 After Poules,2025-12-09 After DEs,2025-12-16 After Poules,2025-12-16 After DEs,2026-01-06 After Poules,2026-01-06 After DEs,2026-01-13 After Poules,2026-01-13 After DEs,2026-01-20 After Poules,2026-01-20 After DEs,2026-01-27 After Poules,2026-01-27 After DEs,2026-02-03 After Poules,2026-02-03 After DEs,2026-02-10 After Poules,2026-02-10 After DEs,2026-02-17 After Poules,2026-02-17 After DEs,2026-02-24 After Poules,2026-02-24 After DEs,2026-03-03 After Poules,2026-03-03 After DEs,2026-03-10 After Poules,2026-03-10 After DEs,2026-03-17 After Poules,2026-03-17 After DEs,2026-03-24 After Poules,2026-03-24 After DEs,2026-04-14 After Poules,2026-04-14 After DEs,2026-04-21 After Poules,2026-04-21 After DEs
Maiya,,,,,,,,,,,"1766.9 (-33.1, #29)","1730.1 (-36.8, #37)",1730.1 (#39),1730.1 (#36),1730.1 (#38),1730.1 (#37),1730.1 (#39),1730.1 (#38),"1696.3 (-33.8, #45)","1714.9 (+18.7, #42)",1714.9 (#42),1714.9 (#42),1714.9 (#43),1714.9 (#43),1714.9 (#45),1714.9 (#45),1714.9 (#44),1714.9 (#44),1714.9 (#46),1714.9 (#46),1714.9 (#49),1714.9 (#49),1714.9 (#50),1714.9 (#50),1714.9 (#55),1714.9 (#55),1714.9 (#57),1714.9 (#58),1714.9 (#61),1714.9 (#60),1714.9 (#60),1714.9 (#59),1714.9 (#62),1714.9 (#63),1714.9 (#66),1714.9 (#65),1714.9 (#70),1714.9 (#68),1714.9 (#70),1714.9 (#69),1714.9 (#70),1714.9 (#69),1714.9 (#70),1714.9 (#69),1714.9 (#69),1714.9 (#68),1714.9 (#68),1714.9 (#68),1714.9 (#71),1714.9 (#69),1714.9 (#71),1714.9 (#70),1714.9 (#71),1714.9 (#71),1714.9 (#73),1714.9 (#72),1714.9 (#76),1714.9 (#77),1714.9 (#78),1714.9 (#78),1714.9 (#79),1714.9 (#79),1714.9 (#83),1714.9 (#80),1714.9 (#81),1714.9 (#81),1714.9 (#83),1714.9 (#83),1714.9 (#86),1714.9 (#87),1714.9 (#89),1714.9 (#88)
Marg,,,"1771.8 (-28.2, #21)",1771.8 (#23),"1725.9 (-46.0, #34)",1725.9 (#32),"1699.4 (-26.5, #37)",1699.4 (#35),"1699.7 (+0.3, #38)",1699.7 (#37),"1709.2 (+9.5, #39)","1670.1 (-39.1, #44)","1716.8 (+46.7, #40)",1716.8 (#39),"1705.0 (-11.8, #41)",1705.0 (#41),"1690.6 (-14.4, #47)",1690.6 (#47),1690.6 (#49),1690.6 (#49),"1675.2 (-15.4, #50)",1675.2 (#50),"1663.8 (-11.4, #51)",1663.8 (#51),"1665.2 (+1.4, #52)",1665.2 (#52),"1668.7 (+3.5, #52)",1668.7 (#52),"1652.9 (-15.8, #54)",1652.9 (#54),1652.9 (#56),1652.9 (#56),"1708.5 (+55.6, #53)",1708.5 (#53),"1713.8 (+5.3, #56)",1713.8 (#56),"1706.4 (-7.4, #59)",1706.4 (#60),"1700.1 (-6.3, #64)",1700.1 (#63),"1704.1 (+4.0, #62)",1704.1 (#62),1704.1 (#65),1704.1 (#66),"1721.7 (+17.6, #64)",1721.7 (#63),"1715.4 (-6.3, #68)",1715.4 (#66),"1725.3 (+9.8, #67)",1725.3 (#66),"1716.8 (-8.5, #68)",1716.8 (#67),"1730.4 (+13.6, #66)",1730.4 (#65),"1725.1 (-5.3, #66)","1705.4 (-19.6, #71)","1700.4 (-5.0, #72)",1700.4 (#73),"1740.7 (+40.3, #60)",1740.7 (#60),"1730.6 (-10.1, #65)",1730.6 (#65),"1732.7 (+2.2, #66)",1732.7 (#66),"1751.8 (+19.1, #63)",1751.8 (#62),"1741.8 (-10.1, #67)",1741.8 (#67),1741.7 (#68),1741.7 (#67),"1714.3 (-27.4, #80)",1714.3 (#80),"1732.9 (+18.6, #75)",1732.9 (#74),"1733.2 (+0.3, #74)",1733.2 (#74),"1725.4 (-7.9, #79)",1725.4 (#79),"1717.6 (-7.8, #83)",1717.6 (#84),"1699.4 (-18.2, #96)",1699.4 (#95)
Marinko,,,,,,,,,,,,,"1764.6 (-35.4, #32)","1696.1 (-68.5, #44)",1696.1 (#44),1696.1 (#44),1696.1 (#44),1696.1 (#44),1696.1 (#46),1696.1 (#46),1696.1 (#46),1696.1 (#46),1696.1 (#47),1696.1 (#47),1696.1 (#49),1696.1 (#49),"1691.5 (-4.6, #50)","1686.5 (-5.0, #50)","1674.2 (-12.3, #52)","1661.1 (-13.1, #53)","1679.4 (+18.3, #53)","1722.3 (+42.9, #47)",1722.3 (#48),1722.3 (#48),1722.3 (#53),1722.3 (#52),1722.3 (#54),1722.3 (#55),1722.3 (#57),1722.3 (#56),1722.3 (#58),1722.3 (#57),1722.3 (#60),1722.3 (#61),1722.3 (#63),1722.3 (#62),1722.3 (#66),1722.3 (#65),"1714.0 (-8.3, #71)","1712.8 (-1.2, #71)","1714.2 (+1.4, #71)","1706.6 (-7.6, #71)",1706.6 (#72),1706.6 (#71),1706.6 (#71),1706.6 (#70),1706.6 (#70),1706.6 (#71),1706.6 (#74),1706.6 (#73),1706.6 (#73),1706.6 (#72),1706.6 (#73),1706.6 (#73),1706.6 (#75),1706.6 (#74),1706.6 (#78),1706.6 (#80),1706.6 (#81),1706.6 (#81),1706.6 (#82),1706.6 (#82),1706.6 (#85),1706.6 (#83),"1679.9 (-26.7, #90)","1698.2 (+18.3, #85)","1689.5 (-8.7, #90)","1671.9 (-17.6, #96)","1707.0 (+35.1, #89)","1719.2 (+12.2, #83)","1723.0 (+3.8, #86)","1685.0 (-37.9, #98)"
Mark M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1814.7 (+14.7, #30)",1814.7 (#29),1814.7 (#29),1814.7 (#29),1814.7 (#30),1814.7 (#30),1814.7 (#31),1814.7 (#30),1814.7 (#32),1814.7 (#32),1814.7 (#33),1814.7 (#35),1814.7 (#38),1814.7 (#37),1814.7 (#38),1814.7 (#37),1814.7 (#38),1814.7 (#39),1814.7 (#39),1814.7 (#39),1814.7 (#39),1814.7 (#39),1814.7 (#39),1814.7 (#40),1814.7 (#40),1814.7 (#40),1814.7 (#40),1814.7 (#41),1814.7 (#41),1814.7 (#42),1814.7 (#43),1814.7 (#43),1814.7 (#43),1814.7 (#40),1814.7 (#40),1814.7 (#40),1814.7 (#42),1814.7 (#40),1814.7 (#39),1814.7 (#40),1814.7 (#41),1814.7 (#41),1814.7 (#43),1814.7 (#42),1814.7 (#45),1814.7 (#44),1814.7 (#45),1814.7 (#46)
Martin H,,,"1758.9 (-41.1, #24)","1774.7 (+15.8, #22)",1774.7 (#28),1774.7 (#23),1774.7 (#25),1774.7 (#26),"1743.9 (-30.8, #35)","1715.2 (-28.8, #34)",1715.2 (#37),1715.2 (#38),"1692.5 (-22.7, #46)","1717.7 (+25.3, #38)",1717.7 (#39),1717.7 (#38),1717.7 (#40),1717.7 (#39),1717.7 (#40),1717.7 (#40),1717.7 (#40),1717.7 (#40),1717.7 (#41),1717.7 (#41),1717.7 (#43),1717.7 (#43),1717.7 (#42),1717.7 (#42),"1740.0 (+22.3, #42)","1763.5 (+23.5, #39)",1763.5 (#40),1763.5 (#38),1763.5 (#39),1763.5 (#36),1763.5 (#42),1763.5 (#40),1763.5 (#44),1763.5 (#43),1763.5 (#45),1763.5 (#45),"1785.9 (+22.4, #37)","1833.7 (+47.8, #28)",1833.7 (#30),1833.7 (#30),1833.7 (#32),1833.7 (#32),1833.7 (#34),1833.7 (#34),1833.7 (#36),1833.7 (#35),1833.7 (#33),1833.7 (#32),1833.7 (#33),1833.7 (#32),1833.7 (#33),1833.7 (#33),1833.7 (#34),1833.7 (#34),1833.7 (#33),1833.7 (#32),1833.7 (#34),1833.7 (#35),1833.7 (#35),1833.7 (#36),1833.7 (#36),1833.7 (#36),1833.7 (#36),1833.7 (#34),1833.7 (#34),1833.7 (#34),1833.7 (#37),1833.7 (#35),1833.7 (#35),1833.7 (#36),1833.7 (#37),1833.7 (#36),1833.7 (#37),1833.7 (#37),1833.7 (#40),1833.7 (#39),1833.7 (#40),1833.7 (#41)
Matilda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1737.5 (-62.5, #57)","1712.3 (-25.2, #67)",1712.3 (#72),1712.3 (#70),"1734.6 (+22.3, #65)","1684.1 (-50.5, #76)","1661.0 (-23.1, #80)",1661.0 (#79),1661.0 (#79),1661.0 (#79),1661.0 (#79),1661.0 (#79),"1691.2 (+30.3, #74)","1713.4 (+22.2, #69)",1713.4 (#72),1713.4 (#70),"1724.2 (+10.7, #68)","1671.2 (-53.0, #80)","1687.3 (+16.1, #77)","1681.5 (-5.8, #77)",1681.5 (#80),1681.5 (#81),1681.5 (#85),1681.5 (#85),1681.5 (#87),1681.5 (#86),1681.5 (#89),1681.5 (#88),1681.5 (#92),1681.5 (#90),"1674.0 (-7.5, #93)","1671.0 (-3.1, #94)",1671.0 (#96),1671.0 (#97),1671.0 (#100),1671.0 (#100),1671.0 (#103),1671.0 (#103)
Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1771.8 (-28.2, #60)","1747.8 (-24.0, #63)",1747.8 (#64),1747.8 (#63),"1771.2 (+23.4, #60)","1786.4 (+15.2, #51)",1786.4 (#52),1786.4 (#52),1786.4 (#52),1786.4 (#52),1786.4 (#54),1786.4 (#54),1786.4 (#57),1786.4 (#56),1786.4 (#59),1786.4 (#58)
Max T,,,,,,,,,,,"1863.5 (+63.5, #12)","1872.1 (+8.6, #12)",1872.1 (#14),1872.1 (#14),1872.1 (#15),1872.1 (#15),1872.1 (#16),1872.1 (#15),1872.1 (#17),1872.1 (#16),1872.1 (#16),1872.1 (#15),1872.1 (#16),1872.1 (#18),1872.1 (#19),1872.1 (#18),1872.1 (#19),1872.1 (#19),1872.1 (#19),1872.1 (#21),1872.1 (#22),1872.1 (#21),1872.1 (#21),1872.1 (#21),1872.1 (#22),1872.1 (#23),1872.1 (#23),1872.1 (#24),1872.1 (#22),1872.1 (#23),1872.1 (#24),1872.1 (#22),1872.1 (#23),1872.1 (#23),1872.1 (#24),1872.1 (#25),1872.1 (#25),1872.1 (#25),1872.1 (#25),1872.1 (#25),1872.1 (#25),1872.1 (#24),1872.1 (#23),1872.1 (#24),1872.1 (#25),1872.1 (#24),1872.1 (#25),1872.1 (#25),1872.1 (#25),1872.1 (#26),1872.1 (#27),1872.1 (#26),1872.1 (#26),1872.1 (#26),1872.1 (#27),1872.1 (#28),1872.1 (#27),1872.1 (#26),1872.1 (#26),1872.1 (#28),1872.1 (#27),1872.1 (#28),1872.1 (#28),1872.1 (#28),1872.1 (#28),1872.1 (#29),1872.1 (#28),1872.1 (#26),1872.1 (#29),1872.1 (#30),1872.1 (#30),1872.1 (#31)
Max V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1809.0 (+9.0, #42)","1737.3 (-71.8, #69)",1737.3 (#70),1737.3 (#70),1737.3 (#71),1737.3 (#70),1737.3 (#70),1737.3 (#70),"1817.3 (+80.0, #41)","1773.3 (-44.0, #64)",1773.3 (#66),1773.3 (#65),"1752.9 (-20.4, #74)","1825.9 (+73.0, #42)"
Maxim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1741.3 (-58.7, #61)","1799.2 (+57.9, #46)","1792.9 (-6.2, #49)","1795.9 (+2.9, #49)",1795.9 (#49),1795.9 (#47),1795.9 (#49),1795.9 (#47),1795.9 (#49),1795.9 (#48),1795.9 (#49),1795.9 (#49),1795.9 (#49),1795.9 (#49),1795.9 (#51),1795.9 (#51),1795.9 (#54),1795.9 (#54),1795.9 (#56),1795.9 (#56)
Megan,,,,,,,,,,,,,,,"1785.4 (-14.6, #27)","1715.3 (-70.2, #39)",1715.3 (#41),1715.3 (#40),1715.3 (#41),1715.3 (#41),1715.3 (#41),1715.3 (#41),1715.3 (#42),1715.3 (#42),1715.3 (#44),1715.3 (#44),1715.3 (#43),1715.3 (#43),1715.3 (#45),1715.3 (#45),1715.3 (#48),1715.3 (#48),1715.3 (#49),1715.3 (#49),1715.3 (#54),1715.3 (#54),1715.3 (#56),1715.3 (#57),1715.3 (#60),1715.3 (#59),1715.3 (#59),1715.3 (#58),1715.3 (#61),1715.3 (#62),1715.3 (#65),1715.3 (#64),1715.3 (#69),1715.3 (#67),1715.3 (#69),1715.3 (#68),1715.3 (#69),1715.3 (#68),1715.3 (#69),1715.3 (#68),1715.3 (#68),1715.3 (#67),1715.3 (#67),1715.3 (#67),1715.3 (#70),1715.3 (#68),1715.3 (#70),1715.3 (#69),1715.3 (#70),1715.3 (#70),1715.3 (#72),1715.3 (#71),1715.3 (#75),1715.3 (#76),1715.3 (#77),1715.3 (#77),1715.3 (#78),1715.3 (#78),1715.3 (#82),1715.3 (#79),1715.3 (#80),1715.3 (#80),1715.3 (#82),1715.3 (#82),1715.3 (#85),1715.3 (#86),1715.3 (#88),1715.3 (#87)
Miriam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1776.4 (-23.6, #33)",1776.4 (#33),1776.4 (#39),1776.4 (#37),"1772.8 (-3.6, #41)",1772.8 (#40),"1747.4 (-25.5, #49)",1747.4 (#49),"1727.8 (-19.6, #55)","1775.7 (+47.9, #44)",1775.7 (#47),1775.7 (#43),1775.7 (#45),1775.7 (#45),1775.7 (#49),1775.7 (#49),1775.7 (#51),1775.7 (#51),1775.7 (#51),1775.7 (#52),"1792.8 (+17.1, #47)","1773.7 (-19.1, #55)",1773.7 (#55),1773.7 (#55),1773.7 (#56),1773.7 (#55),"1762.0 (-11.6, #58)","1822.7 (+60.7, #38)",1822.7 (#38),1822.7 (#39),1822.7 (#38),1822.7 (#39),1822.7 (#40),1822.7 (#40),1822.7 (#40),1822.7 (#37),1822.7 (#37),1822.7 (#38),1822.7 (#39),1822.7 (#37),1822.7 (#36),1822.7 (#37),1822.7 (#38),1822.7 (#38),1822.7 (#39),1822.7 (#39),1822.7 (#42),1822.7 (#41),1822.7 (#41),1822.7 (#43)
Nat,,,"1702.2 (-97.8, #34)","1642.6 (-59.6, #34)","1628.7 (-13.9, #40)","1581.8 (-46.9, #40)",1581.8 (#42),1581.8 (#42),1581.8 (#44),1581.8 (#44),"1570.2 (-11.7, #47)",1570.2 (#47),1570.2 (#50),1570.2 (#50),1570.2 (#51),1570.2 (#51),1570.2 (#52),1570.2 (#52),1570.2 (#54),1570.2 (#54),1570.2 (#54),1570.2 (#54),1570.2 (#55),1570.2 (#55),1570.2 (#57),1570.2 (#57),"1554.1 (-16.0, #57)","1529.9 (-24.2, #57)",1529.9 (#58),1529.9 (#58),1529.9 (#60),1529.9 (#60),"1514.6 (-15.3, #61)",1514.6 (#61),1514.6 (#67),1514.6 (#67),1514.6 (#69),1514.6 (#69),1514.6 (#72),1514.6 (#72),1514.6 (#73),1514.6 (#73),1514.6 (#76),1514.6 (#77),1514.6 (#78),1514.6 (#78),1514.6 (#83),1514.6 (#83),1514.6 (#85),1514.6 (#85),"1508.0 (-6.6, #86)",1508.0 (#86),"1546.1 (+38.1, #86)","1561.6 (+15.5, #86)",1561.6 (#86),1561.6 (#86),1561.6 (#86),1561.6 (#86),1561.6 (#88),1561.6 (#88),1561.6 (#89),1561.6 (#89),1561.6 (#90),1561.6 (#90),1561.6 (#92),1561.6 (#92),1561.6 (#95),1561.6 (#95),1561.6 (#96),1561.6 (#96),1561.6 (#98),1561.6 (#98),1561.6 (#100),1561.6 (#100),1561.6 (#100),1561.6 (#100),1561.6 (#102),1561.6 (#103),"1549.1 (-12.5, #106)","1588.2 (+39.1, #106)",1588.2 (#109),1588.2 (#108)
Nicholas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1808.0 (+8.0, #40)",1808.0 (#39),1808.0 (#40),1808.0 (#40),1808.0 (#41),1808.0 (#42),1808.0 (#43),1808.0 (#43),1808.0 (#43),1808.0 (#43),1808.0 (#44),1808.0 (#44),1808.0 (#44),1808.0 (#42),1808.0 (#42),1808.0 (#44),1808.0 (#45),1808.0 (#44),1808.0 (#45),1808.0 (#45),1808.0 (#45),1808.0 (#43),1808.0 (#43),1808.0 (#42),1808.0 (#44),1808.0 (#43),1808.0 (#42),1808.0 (#43),1808.0 (#43),1808.0 (#43),1808.0 (#45),1808.0 (#45),1808.0 (#49),1808.0 (#47),1808.0 (#51),1808.0 (#49)
Nicholas P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1778.8 (-21.2, #56)","1742.9 (-35.9, #66)",1742.9 (#67),1742.9 (#66),1742.9 (#68),1742.9 (#67),1742.9 (#68),1742.9 (#67),1742.9 (#67),1742.9 (#67),1742.9 (#72),1742.9 (#73),1742.9 (#76),1742.9 (#72),1742.9 (#75),1742.9 (#74)
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1797.6 (-2.4, #42)",1797.6 (#42),1797.6 (#44),1797.6 (#43),1797.6 (#44),1797.6 (#45),1797.6 (#45),1797.6 (#45),1797.6 (#45),1797.6 (#46),1797.6 (#46),1797.6 (#46),1797.6 (#47),1797.6 (#45),1797.6 (#46),1797.6 (#47),1797.6 (#48),1797.6 (#48),1797.6 (#48),1797.6 (#48),1797.6 (#48),1797.6 (#46),1797.6 (#48),1797.6 (#46),1797.6 (#48),1797.6 (#47),1797.6 (#47),1797.6 (#48),1797.6 (#48),1797.6 (#48),1797.6 (#50),1797.6 (#50),1797.6 (#53),1797.6 (#53),1797.6 (#55),1797.6 (#55)
Nikolas A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1873.8 (+73.8, #25)","1983.4 (+109.6, #9)",1983.4 (#10),1983.4 (#10),1983.4 (#10),1983.4 (#11),1983.4 (#11),1983.4 (#12),1983.4 (#12),1983.4 (#13),1983.4 (#13),1983.4 (#13),1983.4 (#13),1983.4 (#14),"1976.7 (-6.7, #14)",1976.7 (#14),"1970.6 (-6.1, #14)",1970.6 (#16),"1964.9 (-5.6, #15)",1964.9 (#15),"1959.7 (-5.2, #16)",1959.7 (#15)
Oleg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1827.3 (+27.3, #37)","1875.5 (+48.3, #27)","1899.6 (+24.1, #23)","1915.8 (+16.2, #19)","1896.2 (-19.6, #24)","1881.9 (-14.3, #27)","1847.7 (-34.3, #31)","1912.3 (+64.6, #20)","1926.7 (+14.4, #20)","2033.6 (+106.9, #7)",2033.6 (#7),2033.6 (#7),"2033.2 (-0.4, #7)",2033.2 (#7),2033.2 (#7),2033.2 (#7),2033.2 (#5),2033.2 (#6)
Pablo,"1759.7 (-40.3, #21)","1727.3 (-32.4, #20)",1727.3 (#29),1727.3 (#28),"1740.2 (+12.9, #33)","1725.8 (-14.4, #33)","1722.6 (-3.2, #35)","1673.1 (-49.5, #38)","1717.4 (+44.3, #36)","1701.4 (-16.0, #36)","1685.8 (-15.6, #43)","1730.3 (+44.5, #36)","1712.4 (-17.8, #42)","1704.5 (-7.9, #41)",1704.5 (#42),1704.5 (#42),"1744.4 (+39.9, #37)","1698.3 (-46.2, #43)",1698.3 (#44),1698.3 (#45),1698.3 (#45),1698.3 (#45),1698.3 (#46),1698.3 (#46),1698.3 (#48),1698.3 (#48),1698.3 (#48),1698.3 (#48),1698.3 (#49),1698.3 (#49),"1745.8 (+47.5, #43)","1749.5 (+3.7, #40)",1749.5 (#42),1749.5 (#39),"1760.8 (+11.3, #43)","1797.7 (+36.9, #31)",1797.7 (#33),1797.7 (#33),1797.7 (#34),1797.7 (#34),1797.7 (#35),1797.7 (#35),1797.7 (#36),1797.7 (#34),1797.7 (#36),1797.7 (#38),1797.7 (#41),1797.7 (#41),1797.7 (#43),1797.7 (#42),1797.7 (#43),1797.7 (#44),1797.7 (#44),1797.7 (#44),1797.7 (#44),1797.7 (#45),1797.7 (#45),1797.7 (#45),1797.7 (#46),1797.7 (#44),1797.7 (#45),1797.7 (#46),1797.7 (#47),1797.7 (#47),1797.7 (#47),1797.7 (#47),1797.7 (#47),1797.7 (#45),1797.7 (#47),1797.7 (#45),1797.7 (#47),1797.7 (#46),1797.7 (#46),1797.7 (#47),1797.7 (#47),1797.7 (#47),1797.7 (#49),1797.7 (#49),1797.7 (#52),1797.7 (#52),1797.7 (#54),1797.7 (#54)
Patrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1842.2 (+42.2, #28)","1858.9 (+16.7, #26)",1858.9 (#28),1858.9 (#27),1858.9 (#29),1858.9 (#29),1858.9 (#30),1858.9 (#28),1858.9 (#29),1858.9 (#27),1858.9 (#27),1858.9 (#26),1858.9 (#27),1858.9 (#26),1858.9 (#27),1858.9 (#27),1858.9 (#28),1858.9 (#29),1858.9 (#30),1858.9 (#29),1858.9 (#29),1858.9 (#29),1858.9 (#30),1858.9 (#31),1858.9 (#31),1858.9 (#30),1858.9 (#30),1858.9 (#31),1858.9 (#30),1858.9 (#31),1858.9 (#31),1858.9 (#34),1858.9 (#34),1858.9 (#33),1858.9 (#32),1858.9 (#33),1858.9 (#34),1858.9 (#35),1858.9 (#35),1858.9 (#36)
Patrick L,,,,,,,,,,,,,,,,,,,"1785.3 (-14.7, #28)","1748.9 (-36.4, #34)","1764.8 (+15.9, #35)",1764.8 (#35),1764.8 (#36),1764.8 (#36),1764.8 (#35),1764.8 (#38),1764.8 (#39),1764.8 (#38),1764.8 (#39),1764.8 (#38),1764.8 (#39),1764.8 (#37),1764.8 (#36),1764.8 (#35),1764.8 (#41),1764.8 (#39),1764.8 (#43),1764.8 (#42),1764.8 (#44),1764.8 (#44),1764.8 (#47),1764.8 (#47),1764.8 (#50),1764.8 (#51),1764.8 (#51),1764.8 (#52),1764.8 (#55),1764.8 (#55),1764.8 (#57),1764.8 (#57),1764.8 (#57),1764.8 (#58),1764.8 (#58),1764.8 (#58),1764.8 (#58),1764.8 (#58),1764.8 (#58),1764.8 (#56),1764.8 (#56),1764.8 (#56),1764.8 (#57),1764.8 (#57),1764.8 (#57),1764.8 (#58),1764.8 (#60),1764.8 (#59),1764.8 (#63),1764.8 (#59),1764.8 (#60),1764.8 (#57),1764.8 (#62),1764.8 (#60),1764.8 (#61),1764.8 (#61),1764.8 (#61),1764.8 (#61),1764.8 (#65),1764.8 (#65),1764.8 (#69),1764.8 (#66),1764.8 (#70),1764.8 (#69)
Perth,,,,,,,,,,,,,"1770.1 (-29.9, #30)","1695.6 (-74.5, #45)",1695.6 (#45),1695.6 (#45),1695.6 (#45),1695.6 (#45),1695.6 (#47),1695.6 (#47),1695.6 (#47),1695.6 (#47),1695.6 (#48),1695.6 (#48),"1663.4 (-32.2, #53)","1639.6 (-23.8, #54)",1639.6 (#54),1639.6 (#54),1639.6 (#55),1639.6 (#55),1639.6 (#57),1639.6 (#57),1639.6 (#58),1639.6 (#58),1639.6 (#64),1639.6 (#64),1639.6 (#66),1639.6 (#65),1639.6 (#68),1639.6 (#68),1639.6 (#69),1639.6 (#69),1639.6 (#73),1639.6 (#74),1639.6 (#75),1639.6 (#75),1639.6 (#80),1639.6 (#80),1639.6 (#82),1639.6 (#82),1639.6 (#83),1639.6 (#83),1639.6 (#82),1639.6 (#82),1639.6 (#82),1639.6 (#82),1639.6 (#82),1639.6 (#82),1639.6 (#85),1639.6 (#85),1639.6 (#86),1639.6 (#86),1639.6 (#88),1639.6 (#87),1639.6 (#90),1639.6 (#88),"1643.9 (+4.3, #91)","1731.5 (+87.6, #72)",1731.5 (#73),1731.5 (#73),1731.5 (#74),1731.5 (#74),1731.5 (#76),1731.5 (#75),1731.5 (#75),1731.5 (#75),"1727.8 (-3.7, #78)","1702.4 (-25.4, #86)",1702.4 (#91),1702.4 (#90),1702.4 (#93),1702.4 (#91)
Pierre,"1800.4 (+0.4, #13)","1881.8 (+81.4, #4)",1881.8 (#5),1881.8 (#4),"1889.8 (+8.0, #4)","1883.9 (-6.0, #8)",1883.9 (#8),1883.9 (#8),1883.9 (#8),1883.9 (#8),1883.9 (#8),1883.9 (#10),1883.9 (#11),1883.9 (#11),1883.9 (#11),1883.9 (#11),1883.9 (#13),1883.9 (#13),1883.9 (#15),1883.9 (#15),1883.9 (#15),1883.9 (#14),1883.9 (#15),1883.9 (#16),1883.9 (#17),1883.9 (#16),1883.9 (#17),1883.9 (#17),1883.9 (#17),1883.9 (#19),1883.9 (#21),1883.9 (#19),1883.9 (#19),1883.9 (#19),1883.9 (#20),1883.9 (#21),1883.9 (#21),1883.9 (#20),1883.9 (#21),1883.9 (#22),1883.9 (#22),1883.9 (#21),1883.9 (#21),1883.9 (#22),1883.9 (#22),1883.9 (#23),1883.9 (#24),1883.9 (#24),1883.9 (#22),1883.9 (#23),1883.9 (#23),1883.9 (#23),1883.9 (#22),1883.9 (#23),1883.9 (#23),1883.9 (#23),1883.9 (#24),1883.9 (#24),1883.9 (#24),1883.9 (#23),1883.9 (#23),1883.9 (#23),1883.9 (#24),1883.9 (#24),1883.9 (#25),1883.9 (#25),1883.9 (#25),1883.9 (#25),1883.9 (#25),1883.9 (#26),1883.9 (#25),1883.9 (#26),1883.9 (#26),1883.9 (#25),1883.9 (#25),1883.9 (#26),"1941.1 (+57.2, #18)","1899.3 (-41.8, #25)",1899.3 (#25),1899.3 (#28),1899.3 (#27),1899.3 (#28)
Purse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1781.2 (-18.8, #52)",1781.2 (#50),1781.2 (#53),1781.2 (#51),1781.2 (#54),1781.2 (#54),1781.2 (#55),1781.2 (#55),1781.2 (#55),1781.2 (#55),1781.2 (#58),1781.2 (#58),1781.2 (#61),1781.2 (#60),1781.2 (#64),1781.2 (#63)
